Nombre,Precio
Laptop Asus Vivobook D1502YA-NJ584W AMD Ryzen 7 5825U 16GB 512GB,"$12,999.00"
Laptop Asus Vivobook Intel Celeron 4GB RAM 128GB eMMC,"$3,590.00"
"Laptop Gamer HP Victus NVIDIA GeForce RTX 4050 AMD Ryzen 7 7445HS 16GB RAM 512GB SSD 15.6"" Windows 11 Home Teclado en Ingles","$16,059.00"
Laptop Asus Vivobook Go E1404FA-NK341W AMD Ryzen 5 7th 8GB 512GB Negro,"$9,299.00"
Laptop Lenovo Ideapad Intel Celeron 4GB RAM 128GB eMMC,"$3,890.00"
Laptop Lenovo AMD Ryzen 7 16GB RAM 1TB SSD más Audifonos Bluetooth JBL Tune 520,"$12,090.00"
Laptop Asus Vivobook Go E1404FA-NK209W R5 16GB 512GB Negro,"$11,499.00"
Laptop Asus TUF Gaming FX607VJ-RL805W NVIDIA GeForce RTX 3050 C5 8G 512G,"$15,990.00"
Laptop HP Victus 15-fa2701la NVIDIA GeForce RTX 4050 Intel Core i5 16GB RAM 512GB SSD,"$13,990.00"
Laptop Toshiba DynaBook i5 10ma Gen 16GB RAM 240GB SSD Pantalla Touch Wifi,"$6,700.00"
Laptop HP 14-ep1050la Intel Core Ultra 5 14 nucleos 16GB RAM 512GB SSD Plata,"$14,490.00"
Laptop Asus Vivobook X1405VA-LY611W Intel Core i7 13620H 16GB 512GB,"$15,499.00"
Laptop HP 15-fd0231la Intel Core i3 8 núcleos 8GB RAM 512GB SSD Azul,"$8,599.00"
"Laptop HP 14"" Celeron 4GB 128GB 14"" Dorado","$3,959.00"
Laptop HP 15-fd0274la Intel Core i7 10 nucleos 16GB RAM 512GB SSD,"$16,399.00"
